SYMBOL,SERIES,LAST
GOLDTECH,EQ,52.5
GOODLUCK,EQ,417.35
GOODYEAR,EQ,1071.5
GOYALALUM,BE,353.65
GPIL,EQ,381
GPPL,EQ,113.15
GPTINFRA,EQ,48.4
GRANULES,EQ,298
GRAPHITE,EQ,273.65
GRASIM,EQ,1705
GRAUWEIL,EQ,104.15
GRAVITA,EQ,500.95
GRCL,SM,41.8
GREAVESCOT,EQ,134.9
GREENLAM,EQ,303.75
GREENPANEL,EQ,277.8
GREENPLY,EQ,141.3
GREENPOWER,EQ,9
GRETEX,SM,29.45
GRINDWELL,EQ,1833.1
GRINFRA,EQ,1019
GRMOVER,EQ,195.8
GROBTEA,EQ,788
GRPLTD,BE,2671
GRSE,EQ,456.5
GRWRHITECH,EQ,538
GSCLCEMENT,EQ,33.2
GSFC,EQ,124.4
GSLSU,BE,195.4
GSPL,EQ,269.3
GSS,EQ,200.95
GTL,EQ,5.35
GTLINFRA,EQ,0.85
GTPL,EQ,109
GUFICBIO,EQ,191.2
GUJALKALI,EQ,618.5
GUJAPOLLO,EQ,194
GUJGASLTD,EQ,458.95
GUJRAFFIA,BE,25.5
GULFOILLUB,EQ,413.9
GULFPETRO,EQ,34.5
GULPOLY,EQ,258.5
GVKPIL,EQ,2.75
HAL,EQ,2808
HAPPSTMNDS,EQ,803
HARDWYN,EQ,262
HARIOMPIPE,EQ,473
HARRMALAYA,EQ,115
HARSHA,EQ,414
HATHWAY,EQ,13.65
HATSUN,EQ,836
HAVELLS,EQ,1166
HAVISHA,BE,1.8
HBANKETF,EQ,409.5
HBLPOWER,EQ,99.25
HBSL,EQ,47.05
HCC,EQ,14.55
HCG,EQ,275
HCL-INSYS,EQ,13.2
HCLTECH,EQ,1101.7
HDFC,EQ,2722.25
HDFC,W3,583.9
HDFCAMC,EQ,1750.1
HDFCBANK,EQ,1655.15
HDFCBSE500,EQ,23.29
HDFCGROWTH,EQ,87.9
HDFCLIFE,EQ,514
HDFCLOWVOL,EQ,132.57
HDFCMFGETF,EQ,52.85
HDFCMID150,EQ,115.74
HDFCMOMENT,EQ,184.98
HDFCNEXT50,EQ,383.01
HDFCNIF100,EQ,174
HDFCNIFETF,EQ,191
HDFCNIFIT,EQ,294.98
HDFCPVTBAN,EQ,209.65
HDFCQUAL,EQ,38.55
HDFCSENETF,EQ,651
HDFCSILVER,EQ,73.1
HDFCSML250,EQ,90.26
HDFCVALUE,EQ,94.9
HDIL,BZ,2.95
HEADSUP,EQ,12.85
HEALTHY,EQ,7.84
HECPROJECT,EQ,29.95
HEG,EQ,984
HEIDELBERG,EQ,166.5
HEMIPROP,EQ,92.25
HERANBA,EQ,314.7
HERCULES,EQ,199.9
HERITGFOOD,EQ,165.9
HEROMOTOCO,EQ,2460
HESTERBIO,EQ,1729
HEUBACHIND,EQ,299
HEXATRADEX,EQ,150.5
HFCL,EQ,62.6
HGINFRA,EQ,841
HGS,EQ,1058.95
HIKAL,EQ,292.9
HIL,EQ,2680
HILTON,BE,120.4
HIMATSEIDE,EQ,76.45
HINDALCO,EQ,410.7
HINDCOMPOS,EQ,272
HINDCON,EQ,79.6
HINDCOPPER,EQ,100.5
HINDMOTORS,EQ,14.2
HINDNATGLS,BE,10.65
HINDOILEXP,EQ,132.85
HINDPETRO,EQ,229
HINDUNILVR,EQ,2527.8
HINDWAREAP,EQ,377.2
HINDZINC,EQ,312.2
HIRECT,EQ,204.95
HISARMETAL,EQ,132
HITECH,EQ,77.8
HITECHCORP,EQ,167
HITECHGEAR,EQ,257.55
HLEGLAS,EQ,517
HLVLTD,EQ,9.75
HMT,BZ,27.2
HMVL,EQ,44.9
HNDFDS,EQ,592.8
HNGSNGBEES,EQ,291
HOMEFIRST,EQ,690
HOMESFY,SM,421.1
HONAUT,EQ,36830
HONDAPOWER,EQ,2105
HOVS,EQ,37.5
HPAL,EQ,369.5
HPIL,BE,78.5
HPL,EQ,88
HSCL,EQ,88.65
HTMEDIA,EQ,16.7
HUBTOWN,EQ,35.05
HUDCO,EQ,44.5
HUDCO,N2,1107.99
HUDCO,N5,1092
HUDCO,N8,1133
HUDCO,N9,1148.7
HUDCO,ND,1180.99
HUDCO,NE,1311.99
HUHTAMAKI,EQ,202.5
HYBRIDFIN,EQ,8.5
IBMFNIFTY,EQ,182.01
IBREALEST,EQ,55.85
IBUCCREDIT,N9,1021.25
IBUCCREDIT,NB,938
IBULHSGFIN,AA,1140
IBULHSGFIN,AC,855
IBULHSGFIN,EQ,101.35
IBULHSGFIN,N9,950
IBULHSGFIN,NA,941
IBULHSGFIN,NE,953
IBULHSGFIN,NT,0
IBULHSGFIN,NW,901
IBULHSGFIN,Y3,951.1
IBULHSGFIN,Y8,901.1
IBULHSGFIN,YG,1027.8
IBULHSGFIN,YP,965
IBULHSGFIN,YR,1015
IBULHSGFIN,YV,969
ICDSLTD,BE,20.5
ICEMAKE,EQ,340
ICICI10GS,EQ,211.1
ICICI500,EQ,24.77
ICICI5GSEC,EQ,52.18
ICICIALPLV,EQ,173.31
ICICIAUTO,EQ,127.35
ICICIB22,EQ,60
ICICIBANK,EQ,867.4
ICICIBANKN,EQ,40.93
ICICIBANKP,EQ,205.01
ICICICOMMO,EQ,56.34
ICICICONSU,EQ,73.3
ICICIFIN,EQ,16.21
ICICIFMCG,EQ,473.24
ICICIGI,EQ,1098.8
ICICIGOLD,EQ,52.86
ICICIINFRA,EQ,53.12
ICICILIQ,EQ,1000
ICICILOVOL,EQ,141.79
ICICIM150,EQ,117.82
ICICIMCAP,EQ,93.54
ICICIMOM30,EQ,18.69
ICICINF100,EQ,190.79
ICICINIFTY,EQ,191.5
ICICINV20,EQ,101.83
ICICINXT50,EQ,39.61
ICICIPHARM,EQ,78.55
